page,route,viewport,status,fail,bodyOverflow,badCards,ctaFailures,stickyFailure,h1Count
"service-areas","/service-areas/","430x932",200,false,0,0,0,0,1
"service-areas","/service-areas/","768x1024",200,false,0,0,0,0,1
"service-areas","/service-areas/","820x1180",200,false,0,0,0,0,1
"service-areas","/service-areas/","834x1194",200,false,0,0,0,0,1
"service-areas","/service-areas/","1024x1366",200,false,0,0,0,0,1
"service-areas","/service-areas/","1024x768",200,false,0,0,0,0,1
"service-areas","/service-areas/","1280x720",200,false,0,0,0,0,1
"service-areas","/service-areas/","1366x768",200,false,0,0,0,0,1
"service-areas","/service-areas/","1440x900",200,false,0,0,0,0,1
"service-areas","/service-areas/","1600x900",200,false,0,0,0,0,1
"service-areas","/service-areas/","1920x1080",200,false,0,0,0,0,1
"about","/about/","320x568",200,false,0,0,0,0,1
"about","/about/","360x800",200,false,0,0,0,0,1
"about","/about/","375x812",200,false,0,0,0,0,1
"about","/about/","390x844",200,false,0,0,0,0,1
"about","/about/","412x915",200,false,0,0,0,0,1
"about","/about/","430x932",200,false,0,0,0,0,1
"about","/about/","768x1024",200,false,0,0,0,0,1
"about","/about/","820x1180",200,false,0,0,0,0,1
"about","/about/","834x1194",200,false,0,0,0,0,1
"about","/about/","1024x1366",200,false,0,0,0,0,1
"about","/about/","1024x768",200,false,0,0,0,0,1
"about","/about/","1280x720",200,false,0,0,0,0,1
"about","/about/","1366x768",200,false,0,0,0,0,1
"about","/about/","1440x900",200,false,0,0,0,0,1
"about","/about/","1600x900",200,false,0,0,0,0,1
"about","/about/","1920x1080",200,false,0,0,0,0,1
"contact","/contact/","320x568",200,false,0,0,0,0,1
"contact","/contact/","360x800",200,false,0,0,0,0,1
"contact","/contact/","375x812",200,false,0,0,0,0,1
"contact","/contact/","390x844",200,false,0,0,0,0,1
"contact","/contact/","412x915",200,false,0,0,0,0,1
"contact","/contact/","430x932",200,false,0,0,0,0,1
"contact","/contact/","768x1024",200,false,0,0,0,0,1
"contact","/contact/","820x1180",200,false,0,0,0,0,1
"contact","/contact/","834x1194",200,false,0,0,0,0,1
"contact","/contact/","1024x1366",200,false,0,0,0,0,1
"contact","/contact/","1024x768",200,false,0,0,0,0,1
"contact","/contact/","1280x720",200,false,0,0,0,0,1
"contact","/contact/","1366x768",200,false,0,0,0,0,1
"contact","/contact/","1440x900",200,false,0,0,0,0,1
"contact","/contact/","1600x900",200,false,0,0,0,0,1
"contact","/contact/","1920x1080",200,false,0,0,0,0,1
"solar","/solar-batteries/","320x568",200,false,0,0,0,0,1
"solar","/solar-batteries/","360x800",200,false,0,0,0,0,1
"solar","/solar-batteries/","375x812",200,false,0,0,0,0,1
"solar","/solar-batteries/","390x844",200,false,0,0,0,0,1
"solar","/solar-batteries/","412x915",200,false,0,0,0,0,1
"solar","/solar-batteries/","430x932",200,false,0,0,0,0,1
"solar","/solar-batteries/","768x1024",200,false,0,0,0,0,1
"solar","/solar-batteries/","820x1180",200,false,0,0,0,0,1
"solar","/solar-batteries/","834x1194",200,false,0,0,0,0,1
"solar","/solar-batteries/","1024x1366",200,false,0,0,0,0,1
"solar","/solar-batteries/","1024x768",200,false,0,0,0,0,1
"solar","/solar-batteries/","1280x720",200,false,0,0,0,0,1
"solar","/solar-batteries/","1366x768",200,false,0,0,0,0,1
"solar","/solar-batteries/","1440x900",200,false,0,0,0,0,1
"solar","/solar-batteries/","1600x900",200,false,0,0,0,0,1
"solar","/solar-batteries/","1920x1080",200,false,0,0,0,0,1
"inspections","/services/pre-purchase-rental-electrical-inspections-sydney/","320x568",200,false,0,0,0,0,1
"inspections","/services/pre-purchase-rental-electrical-inspections-sydney/","360x800",200,false,0,0,0,0,1
"inspections","/services/pre-purchase-rental-electrical-inspections-sydney/","375x812",200,false,0,0,0,0,1
"inspections","/services/pre-purchase-rental-electrical-inspections-sydney/","390x844",200,false,0,0,0,0,1
"inspections","/services/pre-purchase-rental-electrical-inspections-sydney/","412x915",200,false,0,0,0,0,1
"inspections","/services/pre-purchase-rental-electrical-inspections-sydney/","430x932",200,false,0,0,0,0,1
"inspections","/services/pre-purchase-rental-electrical-inspections-sydney/","768x1024",200,false,0,0,0,0,1
"inspections","/services/pre-purchase-rental-electrical-inspections-sydney/","820x1180",200,false,0,0,0,0,1
"inspections","/services/pre-purchase-rental-electrical-inspections-sydney/","834x1194",200,false,0,0,0,0,1
"inspections","/services/pre-purchase-rental-electrical-inspections-sydney/","1024x1366",200,false,0,0,0,0,1
"inspections","/services/pre-purchase-rental-electrical-inspections-sydney/","1024x768",200,false,0,0,0,0,1
"inspections","/services/pre-purchase-rental-electrical-inspections-sydney/","1280x720",200,false,0,0,0,0,1
"inspections","/services/pre-purchase-rental-electrical-inspections-sydney/","1366x768",200,false,0,0,0,0,1
"inspections","/services/pre-purchase-rental-electrical-inspections-sydney/","1440x900",200,false,0,0,0,0,1
"inspections","/services/pre-purchase-rental-electrical-inspections-sydney/","1600x900",200,false,0,0,0,0,1
"inspections","/services/pre-purchase-rental-electrical-inspections-sydney/","1920x1080",200,false,0,0,0,0,1
"panania","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","320x568",200,false,0,0,0,0,1
"panania","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","360x800",200,false,0,0,0,0,1
"panania","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","375x812",200,false,0,0,0,0,1
"panania","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","390x844",200,false,0,0,0,0,1
"panania","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","412x915",200,false,0,0,0,0,1
"panania","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","430x932",200,false,0,0,0,0,1
"panania","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","768x1024",200,false,0,0,0,0,1
"panania","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","820x1180",200,false,0,0,0,0,1
"panania","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","834x1194",200,false,0,0,0,0,1
"panania","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","1024x1366",200,false,0,0,0,0,1
"panania","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","1024x768",200,false,0,0,0,0,1
"panania","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","1280x720",200,false,0,0,0,0,1
"panania","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","1366x768",200,false,0,0,0,0,1
"panania","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","1440x900",200,false,0,0,0,0,1
"panania","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","1600x900",200,false,0,0,0,0,1
"panania","/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/","1920x1080",200,false,0,0,0,0,1
"privacy","/privacy-policy/","320x568",200,false,0,0,0,0,1
"privacy","/privacy-policy/","360x800",200,false,0,0,0,0,1
"privacy","/privacy-policy/","375x812",200,false,0,0,0,0,1
"privacy","/privacy-policy/","390x844",200,false,0,0,0,0,1
"privacy","/privacy-policy/","412x915",200,false,0,0,0,0,1
"privacy","/privacy-policy/","430x932",200,false,0,0,0,0,1
"privacy","/privacy-policy/","768x1024",200,false,0,0,0,0,1
"privacy","/privacy-policy/","820x1180",200,false,0,0,0,0,1
"privacy","/privacy-policy/","834x1194",200,false,0,0,0,0,1
"privacy","/privacy-policy/","1024x1366",200,false,0,0,0,0,1
"privacy","/privacy-policy/","1024x768",200,false,0,0,0,0,1
"privacy","/privacy-policy/","1280x720",200,false,0,0,0,0,1
"privacy","/privacy-policy/","1366x768",200,false,0,0,0,0,1
"privacy","/privacy-policy/","1440x900",200,false,0,0,0,0,1
"privacy","/privacy-policy/","1600x900",200,false,0,0,0,0,1
"privacy","/privacy-policy/","1920x1080",200,false,0,0,0,0,1
"terms","/terms/","320x568",200,false,0,0,0,0,1
"terms","/terms/","360x800",200,false,0,0,0,0,1
"terms","/terms/","375x812",200,false,0,0,0,0,1
"terms","/terms/","390x844",200,false,0,0,0,0,1
"terms","/terms/","412x915",200,false,0,0,0,0,1
"terms","/terms/","430x932",200,false,0,0,0,0,1
"terms","/terms/","768x1024",200,false,0,0,0,0,1
"terms","/terms/","820x1180",200,false,0,0,0,0,1
"terms","/terms/","834x1194",200,false,0,0,0,0,1
"terms","/terms/","1024x1366",200,false,0,0,0,0,1
"terms","/terms/","1024x768",200,false,0,0,0,0,1
"terms","/terms/","1280x720",200,false,0,0,0,0,1
"terms","/terms/","1366x768",200,false,0,0,0,0,1
"terms","/terms/","1440x900",200,false,0,0,0,0,1
"terms","/terms/","1600x900",200,false,0,0,0,0,1
"terms","/terms/","1920x1080",200,false,0,0,0,0,1
