phase,profile,route,routeLabel,runs,lighthouseVersion,performanceScore,accessibilityScore,bestPracticesScore,seoScore,fcpMs,lcpMs,cls,tbtMs,speedIndexMs,domElements,rawHtmlBytes,gzipHtmlBytes,brotliHtmlBytes,cssResourceBytes,cssTransferBytes,jsResourceBytes,jsTransferBytes,imageResourceBytes,imageTransferBytes,totalResourceBytes,totalTransferBytes,requestCount,consoleErrorScore,lcpElement,cliCleanupWarnings
final-a404,desktop,/,Homepage,3,13.4.1,96,93,73,100,327,1387,0,0,327,949,234327,30128,21575,495806,64127,961246,305318,1054772,1057519,2868359,1476501,64,0,body.ev-electric-theme-bg > main#main-content > section.home-brand-hero > img.brand-hero-image,0
final-a404,desktop,/services/,Services,3,13.4.1,96,93,73,100,326,1386,0,0,326,1442,426160,42510,29058,495806,64127,961329,305332,1054772,1057519,3060275,1483998,64,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,0
final-a404,desktop,/service-areas/,Service Areas,3,13.4.1,96,93,73,100,328,1348,0,0,328,1041,304551,31982,22983,495806,64127,967719,307830,988744,990583,2879028,1413485,61,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,0
final-a404,desktop,/emergency-electrician-sydney/,Emergency Electrician Sydney,3,13.4.1,96,93,73,100,366,1386,0,0,366,1198,333475,37963,25132,495806,64127,961313,305325,1054772,1057519,2967574,1480065,64,0,body.ev-electric-theme-bg > main#main-content > section.emergency-theme-module__6nHNpG__hero > img.brand-internal-hero-image,0
final-a404,desktop,/level-2-electrician-sydney/,Level 2 Electrician Sydney,3,13.4.1,97,93,73,100,327,1307,0,0,327,1153,289872,32226,21906,495806,64127,961333,305342,988744,990583,2857963,1409920,60,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,0
final-a404,desktop,/services/switchboard-upgrades-sydney/,Switchboard Upgrades Sydney,3,13.4.1,96,93,73,100,326,1386,0,0,326,1235,309000,34711,23935,495806,64127,961293,305323,1054772,1057519,2943079,1478866,64,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,0
final-a404,desktop,/electrical-faults/no-power-in-one-room/,No Power In One Room fault guide,3,13.4.1,97,93,73,100,327,1310,0,0,327,854,200603,24418,18076,495806,64127,961372,305360,988744,990583,2769680,1407165,63,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero,0
final-a404,desktop,/service-areas/canterbury-bankstown-and-inner-south-west/,Canterbury-Bankstown region,3,13.4.1,96,93,73,100,327,1347,0,0,327,878,240511,27781,19929,495806,64127,967785,307850,988744,990583,2815054,1410451,61,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,0
final-a404,desktop,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/,Canterbury-Bankstown area,3,13.4.1,96,93,73,100,327,1347,0,0,327,1218,310947,30021,20516,495806,64127,967845,307851,988744,990583,2887093,1412222,64,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,0
final-a404,desktop,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,Panania suburb,3,13.4.1,97,93,73,100,327,1307,0,0,327,1000,254584,28287,19960,495806,64127,961515,305380,988744,990583,2826065,1410385,66,0,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,0
