profile,route,routeLabel,performanceBefore,performanceAfter,performanceDelta,lcpBeforeMs,lcpAfterMs,lcpDeltaMs,clsBefore,clsAfter,tbtBeforeMs,tbtAfterMs,transferBeforeBytes,transferAfterBytes,transferSavedBytes,imageTransferBeforeBytes,imageTransferAfterBytes,cssTransferBeforeBytes,cssTransferAfterBytes,jsTransferBeforeBytes,jsTransferAfterBytes,requestCountBefore,requestCountAfter,lcpElementAfter,lcpResourceAfter,ttfbAfterMs,resourceLoadDelayAfterMs,resourceLoadDurationAfterMs,elementRenderDelayAfterMs,observedLcpAfterMs,firstPartyFailuresAfter,consoleErrorsAfter
desktop,/,Homepage,96,96,0,1387,1387,0,0,0,0,0,1476521,1419897,56624,1057519,1057391,64127,64124,305317,157683,64,59,body.ev-electric-theme-bg > main#main-content > section.home-brand-hero > img.brand-hero-image,,123,123,144,997,150,0,0
desktop,/services/,Services,96,96,0,1387,1387,0,0,0,0,0,1484028,1427355,56673,1057519,1057391,64127,64124,305340,157683,64,59,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,,123,123,138,1003,163,0,0
desktop,/service-areas/,Service Areas,96,96,0,1347,1346,-1,0,0,0,0,1413498,1354392,59106,990583,990455,64127,64124,307822,157683,61,55,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,,124,124,139,957,154,0,0
desktop,/emergency-electrician-sydney/,Emergency Electrician Sydney,96,96,0,1387,1387,0,0,0,0,0,1480075,1423505,56570,1057519,1057391,64127,64124,305314,157683,64,59,body.ev-electric-theme-bg > main#main-content > section.emergency-theme-module__6nHNpG__hero > img.brand-internal-hero-image,,123,123,123,1018,171,0,0
desktop,/level-2-electrician-sydney/,Level 2 Electrician Sydney,97,97,0,1307,1308,1,0,0,0,0,1409929,1353304,56625,990583,990455,64127,64124,305330,157683,60,55,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,,124,124,124,936,158,0,0
desktop,/services/switchboard-upgrades-sydney/,Switchboard Upgrades Sydney,96,96,0,1387,1387,0,0,0,0,0,1478898,1422315,56583,1057519,1057391,64127,64124,305333,157683,64,59,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,,123,123,130,1010,166,0,0
desktop,/electrical-faults/no-power-in-one-room/,No Power In One Room fault guide,96,96,0,1430,1391,-39,0,0,0,0,1407197,1357222,49975,990583,990455,64127,64124,305369,157683,63,58,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero,,124,225,263,779,156,0,0
desktop,/service-areas/canterbury-bankstown-and-inner-south-west/,Canterbury-Bankstown region,96,96,0,1348,1348,0,0,0,0,0,1410470,1351301,59169,990583,990455,64127,64124,307849,157683,61,55,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,,124,124,124,976,161,0,0
desktop,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/,Canterbury-Bankstown area,96,96,0,1347,1347,0,0,0,0,0,1412255,1361122,51133,990583,990455,64127,64124,307863,157683,64,58,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,,124,124,133,958,158,0,0
desktop,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,Panania suburb,97,97,0,1307,1308,1,0,0,0,0,1410401,1370012,40389,990583,990455,64127,64124,305370,157683,66,61,body.ev-electric-theme-bg > main#main-content > section.brand-internal-hero > img.brand-internal-hero-image,,124,124,124,936,158,0,0
