region,area,suburb,postcode,route,classification,expected minutes,actual visible minutes,html exists,mismatch,both 60 and 90 confusingly present,guarantee wording,office/depot wording,needs owner review
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Condell Park,2200,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/condell-park,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Earlwood,2206,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/earlwood,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,East Hills,2213,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/east-hills,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Georges Hall,2198,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/georges-hall,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Greenacre,2190,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/greenacre,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Kingsgrove,2208,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/kingsgrove,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Lakemba,2195,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/lakemba,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Lansdowne,2163,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/lansdowne,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Milperra,2214,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/milperra,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Mount Lewis,2190,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/mount-lewis,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Narwee,2209,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/narwee,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Padstow,2211,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/padstow,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Padstow Heights,2211,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/padstow-heights,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Panania,2213,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Picnic Point,2213,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/picnic-point,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Potts Hill,2143,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/potts-hill,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Punchbowl,2196,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/punchbowl,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Revesby,2212,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/revesby,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Revesby Heights,2212,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/revesby-heights,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Riverwood,2210,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/riverwood,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Roselands,2196,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/roselands,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Sefton,2162,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/sefton,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Villawood,2163,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/villawood,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Wiley Park,2195,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/wiley-park,core,60,60,yes,no,no,no,no,no
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Yagoona,2199,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/yagoona,core,60,60,yes,no,no,no,no,no
St George & Bayside,Bayside & Airport,Banksmeadow,2019,/service-areas/st-george-and-bayside/bayside-and-airport/banksmeadow,core,60,60,yes,no,no,no,no,no
St George & Bayside,Bayside & Airport,Botany,2019,/service-areas/st-george-and-bayside/bayside-and-airport/botany,core,60,60,yes,no,no,no,no,no
St George & Bayside,Bayside & Airport,Daceyville,2032,/service-areas/st-george-and-bayside/bayside-and-airport/daceyville,core,60,60,yes,no,no,no,no,no
St George & Bayside,Bayside & Airport,Eastgardens,2036,/service-areas/st-george-and-bayside/bayside-and-airport/eastgardens,core,60,60,yes,no,no,no,no,no
St George & Bayside,Bayside & Airport,Eastlakes,2018,/service-areas/st-george-and-bayside/bayside-and-airport/eastlakes,core,60,60,yes,no,no,no,no,no
St George & Bayside,Bayside & Airport,Hillsdale,2036,/service-areas/st-george-and-bayside/bayside-and-airport/hillsdale,core,60,60,yes,no,no,no,no,no
St George & Bayside,Bayside & Airport,Mascot,2020,/service-areas/st-george-and-bayside/bayside-and-airport/mascot,core,60,60,yes,no,no,no,no,no
St George & Bayside,Bayside & Airport,Pagewood,2035,/service-areas/st-george-and-bayside/bayside-and-airport/pagewood,core,60,60,yes,no,no,no,no,no
St George & Bayside,Bayside & Airport,Rosebery,2018,/service-areas/st-george-and-bayside/bayside-and-airport/rosebery,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Allawah,2218,/service-areas/st-george-and-bayside/georges-river/allawah,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Beverley Park,2217,/service-areas/st-george-and-bayside/georges-river/beverley-park,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Blakehurst,2221,/service-areas/st-george-and-bayside/georges-river/blakehurst,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Carlton,2218,/service-areas/st-george-and-bayside/georges-river/carlton,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Carss Park,2221,/service-areas/st-george-and-bayside/georges-river/carss-park,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Connells Point,2221,/service-areas/st-george-and-bayside/georges-river/connells-point,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Hurstville,2220,/service-areas/st-george-and-bayside/georges-river/hurstville,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Hurstville Grove,2220,/service-areas/st-george-and-bayside/georges-river/hurstville-grove,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Kogarah,2217,/service-areas/st-george-and-bayside/georges-river/kogarah,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Kogarah Bay,2217,/service-areas/st-george-and-bayside/georges-river/kogarah-bay,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Kyle Bay,2221,/service-areas/st-george-and-bayside/georges-river/kyle-bay,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Lugarno,2210,/service-areas/st-george-and-bayside/georges-river/lugarno,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Mortdale,2223,/service-areas/st-george-and-bayside/georges-river/mortdale,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Oatley,2223,/service-areas/st-george-and-bayside/georges-river/oatley,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Peakhurst,2210,/service-areas/st-george-and-bayside/georges-river/peakhurst,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Peakhurst Heights,2210,/service-areas/st-george-and-bayside/georges-river/peakhurst-heights,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Penshurst,2222,/service-areas/st-george-and-bayside/georges-river/penshurst,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Ramsgate,2217,/service-areas/st-george-and-bayside/georges-river/ramsgate,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,Sans Souci,2219,/service-areas/st-george-and-bayside/georges-river/sans-souci,core,60,60,yes,no,no,no,no,no
St George & Bayside,Georges River,South Hurstville,2221,/service-areas/st-george-and-bayside/georges-river/south-hurstville,core,60,60,yes,no,no,no,no,no
St George & Bayside,Rockdale & Bexley,Arncliffe,2205,/service-areas/st-george-and-bayside/rockdale-and-bexley/arncliffe,core,60,60,yes,no,no,no,no,no
St George & Bayside,Rockdale & Bexley,Banksia,2216,/service-areas/st-george-and-bayside/rockdale-and-bexley/banksia,core,60,60,yes,no,no,no,no,no
St George & Bayside,Rockdale & Bexley,Bardwell Park,2207,/service-areas/st-george-and-bayside/rockdale-and-bexley/bardwell-park,core,60,60,yes,no,no,no,no,no
St George & Bayside,Rockdale & Bexley,Bardwell Valley,2207,/service-areas/st-george-and-bayside/rockdale-and-bexley/bardwell-valley,core,60,60,yes,no,no,no,no,no
St George & Bayside,Rockdale & Bexley,Bexley,2207,/service-areas/st-george-and-bayside/rockdale-and-bexley/bexley,core,60,60,yes,no,no,no,no,no
St George & Bayside,Rockdale & Bexley,Bexley North,2207,/service-areas/st-george-and-bayside/rockdale-and-bexley/bexley-north,core,60,60,yes,no,no,no,no,no
St George & Bayside,Rockdale & Bexley,Brighton-le-Sands,2216,/service-areas/st-george-and-bayside/rockdale-and-bexley/brighton-le-sands,core,60,60,yes,no,no,no,no,no
St George & Bayside,Rockdale & Bexley,Dolls Point,2219,/service-areas/st-george-and-bayside/rockdale-and-bexley/dolls-point,core,60,60,yes,no,no,no,no,no
St George & Bayside,Rockdale & Bexley,Kyeemagh,2216,/service-areas/st-george-and-bayside/rockdale-and-bexley/kyeemagh,core,60,60,yes,no,no,no,no,no
St George & Bayside,Rockdale & Bexley,Monterey,2217,/service-areas/st-george-and-bayside/rockdale-and-bexley/monterey,core,60,60,yes,no,no,no,no,no
St George & Bayside,Rockdale & Bexley,Ramsgate Beach,2217,/service-areas/st-george-and-bayside/rockdale-and-bexley/ramsgate-beach,core,60,60,yes,no,no,no,no,no
St George & Bayside,Rockdale & Bexley,Rockdale,2216,/service-areas/st-george-and-bayside/rockdale-and-bexley/rockdale,core,60,60,yes,no,no,no,no,no
St George & Bayside,Rockdale & Bexley,Sandringham,2219,/service-areas/st-george-and-bayside/rockdale-and-bexley/sandringham,core,60,60,yes,no,no,no,no,no
St George & Bayside,Rockdale & Bexley,Turrella,2205,/service-areas/st-george-and-bayside/rockdale-and-bexley/turrella,core,60,60,yes,no,no,no,no,no
St George & Bayside,Rockdale & Bexley,Wolli Creek,2205,/service-areas/st-george-and-bayside/rockdale-and-bexley/wolli-creek,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Alfords Point,2234,/service-areas/sutherland-shire/sutherland-shire/alfords-point,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Bangor,2234,/service-areas/sutherland-shire/sutherland-shire/bangor,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Barden Ridge,2234,/service-areas/sutherland-shire/sutherland-shire/barden-ridge,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Bonnet Bay,2226,/service-areas/sutherland-shire/sutherland-shire/bonnet-bay,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Bundeena,2230,/service-areas/sutherland-shire/sutherland-shire/bundeena,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Burraneer,2230,/service-areas/sutherland-shire/sutherland-shire/burraneer,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Caringbah,2229,/service-areas/sutherland-shire/sutherland-shire/caringbah,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Caringbah South,2229,/service-areas/sutherland-shire/sutherland-shire/caringbah-south,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Como,2226,/service-areas/sutherland-shire/sutherland-shire/como,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Cronulla,2230,/service-areas/sutherland-shire/sutherland-shire/cronulla,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Dolans Bay,2229,/service-areas/sutherland-shire/sutherland-shire/dolans-bay,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Engadine,2233,/service-areas/sutherland-shire/sutherland-shire/engadine,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Grays Point,2232,/service-areas/sutherland-shire/sutherland-shire/grays-point,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Greenhills Beach,2230,/service-areas/sutherland-shire/sutherland-shire/greenhills-beach,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Gymea,2227,/service-areas/sutherland-shire/sutherland-shire/gymea,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Gymea Bay,2227,/service-areas/sutherland-shire/sutherland-shire/gymea-bay,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Heathcote,2233,/service-areas/sutherland-shire/sutherland-shire/heathcote,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Illawong,2234,/service-areas/sutherland-shire/sutherland-shire/illawong,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Jannali,2226,/service-areas/sutherland-shire/sutherland-shire/jannali,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Kangaroo Point,2224,/service-areas/sutherland-shire/sutherland-shire/kangaroo-point,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Kareela,2232,/service-areas/sutherland-shire/sutherland-shire/kareela,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Kirrawee,2232,/service-areas/sutherland-shire/sutherland-shire/kirrawee,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Kurnell,2231,/service-areas/sutherland-shire/sutherland-shire/kurnell,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Lilli Pilli,2229,/service-areas/sutherland-shire/sutherland-shire/lilli-pilli,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Loftus,2232,/service-areas/sutherland-shire/sutherland-shire/loftus,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Maianbar,2230,/service-areas/sutherland-shire/sutherland-shire/maianbar,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Menai,2234,/service-areas/sutherland-shire/sutherland-shire/menai,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Miranda,2228,/service-areas/sutherland-shire/sutherland-shire/miranda,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Oyster Bay,2225,/service-areas/sutherland-shire/sutherland-shire/oyster-bay,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Port Hacking,2229,/service-areas/sutherland-shire/sutherland-shire/port-hacking,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Royal National Park,2233,/service-areas/sutherland-shire/sutherland-shire/royal-national-park,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Sandy Point,2172,/service-areas/sutherland-shire/sutherland-shire/sandy-point,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Sutherland,2232,/service-areas/sutherland-shire/sutherland-shire/sutherland,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Sylvania,2224,/service-areas/sutherland-shire/sutherland-shire/sylvania,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Sylvania Waters,2224,/service-areas/sutherland-shire/sutherland-shire/sylvania-waters,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Taren Point,2229,/service-areas/sutherland-shire/sutherland-shire/taren-point,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Waterfall,2233,/service-areas/sutherland-shire/sutherland-shire/waterfall,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Woolooware,2230,/service-areas/sutherland-shire/sutherland-shire/woolooware,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Woronora,2232,/service-areas/sutherland-shire/sutherland-shire/woronora,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Woronora Heights,2233,/service-areas/sutherland-shire/sutherland-shire/woronora-heights,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Yarrawarrah,2233,/service-areas/sutherland-shire/sutherland-shire/yarrawarrah,core,60,60,yes,no,no,no,no,no
Sutherland Shire,Sutherland Shire,Yowie Bay,2228,/service-areas/sutherland-shire/sutherland-shire/yowie-bay,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Abbotsbury,2176,/service-areas/liverpool-and-fairfield/fairfield/abbotsbury,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Bonnyrigg,2177,/service-areas/liverpool-and-fairfield/fairfield/bonnyrigg,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Bonnyrigg Heights,2177,/service-areas/liverpool-and-fairfield/fairfield/bonnyrigg-heights,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Bossley Park,2176,/service-areas/liverpool-and-fairfield/fairfield/bossley-park,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Cabramatta,2166,/service-areas/liverpool-and-fairfield/fairfield/cabramatta,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Cabramatta West,2166,/service-areas/liverpool-and-fairfield/fairfield/cabramatta-west,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Canley Heights,2166,/service-areas/liverpool-and-fairfield/fairfield/canley-heights,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Canley Vale,2166,/service-areas/liverpool-and-fairfield/fairfield/canley-vale,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Carramar,2163,/service-areas/liverpool-and-fairfield/fairfield/carramar,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Cecil Park,2178,/service-areas/liverpool-and-fairfield/fairfield/cecil-park,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Edensor Park,2176,/service-areas/liverpool-and-fairfield/fairfield/edensor-park,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Fairfield,2165,/service-areas/liverpool-and-fairfield/fairfield/fairfield,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Fairfield East,2165,/service-areas/liverpool-and-fairfield/fairfield/fairfield-east,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Fairfield Heights,2165,/service-areas/liverpool-and-fairfield/fairfield/fairfield-heights,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Fairfield West,2165,/service-areas/liverpool-and-fairfield/fairfield/fairfield-west,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Greenfield Park,2176,/service-areas/liverpool-and-fairfield/fairfield/greenfield-park,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Horsley Park,2175,/service-areas/liverpool-and-fairfield/fairfield/horsley-park,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Lansvale,2166,/service-areas/liverpool-and-fairfield/fairfield/lansvale,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Mount Pritchard,2170,/service-areas/liverpool-and-fairfield/fairfield/mount-pritchard,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Old Guildford,2161,/service-areas/liverpool-and-fairfield/fairfield/old-guildford,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Prairiewood,2176,/service-areas/liverpool-and-fairfield/fairfield/prairiewood,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Smithfield,2164,/service-areas/liverpool-and-fairfield/fairfield/smithfield,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,St Johns Park,2176,/service-areas/liverpool-and-fairfield/fairfield/st-johns-park,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Wakeley,2176,/service-areas/liverpool-and-fairfield/fairfield/wakeley,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Wetherill Park,2164,/service-areas/liverpool-and-fairfield/fairfield/wetherill-park,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Fairfield,Yennora,2161,/service-areas/liverpool-and-fairfield/fairfield/yennora,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Ashcroft,2168,/service-areas/liverpool-and-fairfield/liverpool/ashcroft,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Austral,2179,/service-areas/liverpool-and-fairfield/liverpool/austral,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Badgerys Creek,2555,/service-areas/liverpool-and-fairfield/liverpool/badgerys-creek,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Busby,2168,/service-areas/liverpool-and-fairfield/liverpool/busby,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Carnes Hill,2171,/service-areas/liverpool-and-fairfield/liverpool/carnes-hill,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Cartwright,2168,/service-areas/liverpool-and-fairfield/liverpool/cartwright,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Casula,2170,/service-areas/liverpool-and-fairfield/liverpool/casula,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Cecil Hills,2171,/service-areas/liverpool-and-fairfield/liverpool/cecil-hills,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Chipping Norton,2170,/service-areas/liverpool-and-fairfield/liverpool/chipping-norton,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Edmondson Park,2174,/service-areas/liverpool-and-fairfield/liverpool/edmondson-park,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Elizabeth Hills,2171,/service-areas/liverpool-and-fairfield/liverpool/elizabeth-hills,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Green Valley,2168,/service-areas/liverpool-and-fairfield/liverpool/green-valley,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Greendale,2745,/service-areas/liverpool-and-fairfield/liverpool/greendale,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Hammondville,2170,/service-areas/liverpool-and-fairfield/liverpool/hammondville,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Heckenberg,2168,/service-areas/liverpool-and-fairfield/liverpool/heckenberg,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Hinchinbrook,2168,/service-areas/liverpool-and-fairfield/liverpool/hinchinbrook,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Horningsea Park,2171,/service-areas/liverpool-and-fairfield/liverpool/horningsea-park,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Hoxton Park,2171,/service-areas/liverpool-and-fairfield/liverpool/hoxton-park,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Kemps Creek,2178,/service-areas/liverpool-and-fairfield/liverpool/kemps-creek,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Liverpool,2170,/service-areas/liverpool-and-fairfield/liverpool/liverpool,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Luddenham,2745,/service-areas/liverpool-and-fairfield/liverpool/luddenham,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Lurnea,2170,/service-areas/liverpool-and-fairfield/liverpool/lurnea,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Middleton Grange,2171,/service-areas/liverpool-and-fairfield/liverpool/middleton-grange,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Miller,2168,/service-areas/liverpool-and-fairfield/liverpool/miller,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Moorebank,2170,/service-areas/liverpool-and-fairfield/liverpool/moorebank,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Pleasure Point,2172,/service-areas/liverpool-and-fairfield/liverpool/pleasure-point,core,60,60,yes,no,no,no,no,no
Liverpool & Fairfield,Liverpool,Prestons,2170,/service-areas/liverpool-and-fairfield/liverpool/prestons,core,60,60,yes,no,no,no,no,no
