url,page type,title,h1,word count,suspicious text found,spelling/typo warnings,grammar/spacing warnings,stale phrase warnings,CTA wording warnings,compliance warnings,duplicate/repetition warnings,missing call-first warning,missing quote CTA warning,notes
https://c0d312.github.io/evaready-electrical/services/testing-and-tagging-sydney,service page,Testing and Tagging Sydney | Electrical Safety,Testing and Tagging Sydney & Surrounding Regions,1367,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/phone-line-electrician-sydney,service page,Phone Line Electrician Sydney | Cabling Help,Phone Line Electrician Sydney & Surrounding Regions,1374,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/intercom-installation-sydney,service page,Intercom Installation Sydney | Electrician,Intercom Installation Electrician Sydney & Surrounding Regions,1361,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/tv-points-antenna-electrician-sydney,service page,TV Points & Antenna Electrician Sydney,TV Points & Antenna Electrician Sydney & Surrounding Regions,1373,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/emergency-exit-lighting-sydney,service page,Emergency Exit Lighting Sydney | Electrician,Emergency & Exit Lighting Electrician Sydney & Surrounding Regions,1381,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/hot-power-point-electrician-sydney,service page,Hot Power Point Electrician Sydney,Hot Power Point Electrician Sydney & Surrounding Regions,1414,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/electric-shock-electrician-sydney,service page,Electric Shock Electrician Sydney,Electric Shock Electrician Sydney & Surrounding Regions,1391,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/circuit-breaker-electrician-sydney,service page,Circuit Breaker Electrician Sydney,Circuit Breaker Electrician Sydney & Surrounding Regions,1385,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/rcd-safety-switch-repairs-sydney,service page,RCD Safety Switch Repairs Sydney,RCD Safety Switch Repairs Sydney & Surrounding Regions,1397,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/services/smart-meter-electrician-sydney,service page,Smart Meter Electrician Sydney | Metering Help,Smart Meter Electrician Sydney & Surrounding Regions,1399,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/electrical-faults/safety-switch-keeps-tripping,fault guide,Safety Switch Keeps Tripping Sydney & Surrounding Regions,Safety Switch Keeps Tripping,628,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/electrical-faults/burning-smell-from-switchboard,fault guide,Burning Smell From Switchboard Sydney & Surrounding Regions,Burning Smell From Switchboard,621,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/electrical-faults/no-power-in-one-room,fault guide,No Power In One Room Sydney & Surrounding Regions,No Power In One Room,624,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/electrical-faults/no-power-to-house,fault guide,No Power To House Sydney & Surrounding Regions,No Power To House,663,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/electrical-faults/power-point-sparking,fault guide,Power Point Sparking Sydney & Surrounding Regions,Power Point Sparking,600,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/electrical-faults/burning-smell-from-outlet,fault guide,Burning Smell From Outlet Sydney & Surrounding Regions,Burning Smell From Outlet,640,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/electrical-faults/safety-switch-trips-at-night,fault guide,Safety Switch Trips At Night Sydney & Surrounding Regions,Safety Switch Trips At Night,624,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/electrical-faults/circuit-breaker-keeps-tripping,fault guide,Circuit Breaker Keeps Tripping Sydney & Surrounding Regions,Circuit Breaker Keeps Tripping,594,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/electrical-faults/power-surge-damage,fault guide,Power Surge Damage Sydney & Surrounding Regions,Power Surge Damage,592,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/electrical-faults/hot-power-point,fault guide,Hot Power Point Sydney & Surrounding Regions,Hot Power Point,596,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/electrical-faults/lights-flickering,fault guide,Lights Flickering Sydney & Surrounding Regions,Lights Flickering,602,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/electrical-faults/rcd-trips-when-raining,fault guide,RCD Trips When Raining Sydney & Surrounding Regions,RCD Trips When Raining,612,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/electrical-faults/power-outage-after-storm,fault guide,Power Outage After Storm Sydney & Surrounding Regions,Power Outage After Storm,616,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/electrical-faults/electric-shock-from-outlet,fault guide,Electric Shock From Outlet Sydney & Surrounding Regions,Electric Shock From Outlet,630,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/electrical-faults/smoke-from-electrical-panel,fault guide,Smoke From Electrical Panel Sydney & Surrounding Regions,Smoke From Electrical Panel,619,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west,region page,Canterbury-Bankstown & Inner South West Electrician,"Canterbury-Bankstown & Inner South West Electrician - Emergency, Level 2 & Planned Work",991,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/st-george-and-bayside,region page,St George & Bayside Electrician | Emergency & Level 2,"St George & Bayside Electrician - Emergency, Level 2 & Planned Work",1038,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/sutherland-shire,region page,Sutherland Shire Electrician | Emergency & Level 2,"Sutherland Shire Electrician - Emergency, Level 2 & Planned Work",915,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/liverpool-and-fairfield,region page,Liverpool & Fairfield Electrician | Emergency & Level 2,"Liverpool & Fairfield Electrician - Emergency, Level 2 & Planned Work",964,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/macarthur-camden-and-wollondilly,region page,"Macarthur, Camden & Wollondilly Electrician | Emergency & Level 2","Macarthur, Camden & Wollondilly Electrician - Emergency, Level 2 & Planned Work",1015,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/inner-west-burwood-and-canada-bay,region page,"Inner West, Burwood & Canada Bay Electrician","Inner West, Burwood & Canada Bay Electrician - Emergency, Level 2 & Planned Work",1071,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/sydney-city-and-eastern-suburbs,region page,Sydney City & Eastern Suburbs Electrician | Emergency & Level 2,"Sydney City & Eastern Suburbs Electrician - Emergency, Level 2 & Planned Work",1044,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/parramatta-and-cumberland,region page,Parramatta & Cumberland Electrician | Emergency & Level 2,"Parramatta & Cumberland Electrician - Emergency, Level 2 & Planned Work",954,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/western-sydney-and-nepean,region page,Western Sydney & Nepean Electrician | Emergency & Level 2,"Western Sydney & Nepean Electrician - Emergency, Level 2 & Planned Work",992,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby,region page,"Hills, Hawkesbury & Hornsby Electrician | Emergency & Level 2","Hills, Hawkesbury & Hornsby Electrician - Emergency, Level 2 & Planned Work",1024,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/northern-sydney-and-ryde,region page,Northern Sydney & Ryde Electrician | Emergency & Level 2,"Northern Sydney & Ryde Electrician - Emergency, Level 2 & Planned Work",1100,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/northern-beaches,region page,Northern Beaches Electrician | Emergency & Level 2,"Northern Beaches Electrician - Emergency, Level 2 & Planned Work",938,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains,region page,Blue Mountains Electrician | Emergency & Level 2,"Blue Mountains Electrician - Emergency, Level 2 & Planned Work",931,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/wollongong-and-illawarra,region page,Wollongong & Illawarra Electrician | Emergency & Level 2,"Wollongong & Illawarra Electrician - Emergency, Level 2 & Planned Work",990,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/southern-highlands,region page,Southern Highlands Electrician | Emergency & Level 2,"Southern Highlands Electrician - Emergency, Level 2 & Planned Work",925,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/central-coast-south,region page,Central Coast South Electrician | Emergency & Level 2,"Central Coast South Electrician - Emergency, Level 2 & Planned Work",957,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown,area page,Canterbury-Bankstown Electrician | Emergency & Level 2,"Canterbury-Bankstown Electrician - Emergency, Level 2 & Planned Work",1042,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/st-george-and-bayside/bayside-and-airport,area page,Bayside & Airport Electrician | St George & Bayside,"Bayside & Airport Electrician - Emergency, Level 2 & Planned Work",968,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/st-george-and-bayside/georges-river,area page,Georges River Electrician | St George & Bayside,"Georges River Electrician - Emergency, Level 2 & Planned Work",1005,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/st-george-and-bayside/rockdale-and-bexley,area page,Rockdale & Bexley Electrician | St George & Bayside,"Rockdale & Bexley Electrician - Emergency, Level 2 & Planned Work",966,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/sutherland-shire/sutherland-shire,area page,Sutherland Shire Electrician | Sutherland Shire,"Sutherland Shire Electrician - Emergency, Level 2 & Planned Work",1069,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/liverpool-and-fairfield/fairfield,area page,Fairfield Electrician | Liverpool & Fairfield,"Fairfield Electrician - Emergency, Level 2 & Planned Work",993,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/liverpool-and-fairfield/liverpool,area page,Liverpool Electrician | Liverpool & Fairfield,"Liverpool Electrician - Emergency, Level 2 & Planned Work",1019,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/macarthur-camden-and-wollondilly/camden,area page,"Camden Electrician | Macarthur, Camden & Wollondilly","Camden Electrician - Emergency, Level 2 & Planned Work",972,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/macarthur-camden-and-wollondilly/campbelltown,area page,"Campbelltown Electrician | Macarthur, Camden & Wollondilly","Campbelltown Electrician - Emergency, Level 2 & Planned Work",1031,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/macarthur-camden-and-wollondilly/wollondilly,area page,"Wollondilly Electrician | Macarthur, Camden & Wollondilly","Wollondilly Electrician - Emergency, Level 2 & Planned Work",994,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/inner-west-burwood-and-canada-bay/burwood,area page,"Burwood Electrician | Inner West, Burwood & Canada Bay","Burwood Electrician - Emergency, Level 2 & Planned Work",898,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/inner-west-burwood-and-canada-bay/canada-bay,area page,"Canada Bay Electrician | Inner West, Burwood & Canada Bay","Canada Bay Electrician - Emergency, Level 2 & Planned Work",973,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/inner-west-burwood-and-canada-bay/inner-west,area page,"Inner West Electrician | Inner West, Burwood & Canada Bay","Inner West Electrician - Emergency, Level 2 & Planned Work",1005,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/inner-west-burwood-and-canada-bay/strathfield,area page,"Strathfield Electrician | Inner West, Burwood & Canada Bay","Strathfield Electrician - Emergency, Level 2 & Planned Work",895,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/sydney-city-and-eastern-suburbs/randwick,area page,Randwick Electrician | Sydney City & Eastern Suburbs,"Randwick Electrician - Emergency, Level 2 & Planned Work",925,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/sydney-city-and-eastern-suburbs/sydney,area page,Sydney Electrician | Sydney City & Eastern Suburbs,"Sydney Electrician - Emergency, Level 2 & Planned Work",987,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/sydney-city-and-eastern-suburbs/waverley,area page,Waverley Electrician | Sydney City & Eastern Suburbs,"Waverley Electrician - Emergency, Level 2 & Planned Work",915,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/sydney-city-and-eastern-suburbs/woollahra,area page,Woollahra Electrician | Sydney City & Eastern Suburbs,"Woollahra Electrician - Emergency, Level 2 & Planned Work",906,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/parramatta-and-cumberland/cumberland,area page,Cumberland Electrician | Parramatta & Cumberland,"Cumberland Electrician - Emergency, Level 2 & Planned Work",949,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/parramatta-and-cumberland/parramatta,area page,Parramatta Electrician | Parramatta & Cumberland,"Parramatta Electrician - Emergency, Level 2 & Planned Work",976,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/western-sydney-and-nepean/blacktown,area page,Blacktown Electrician | Western Sydney & Nepean,"Blacktown Electrician - Emergency, Level 2 & Planned Work",1064,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/western-sydney-and-nepean/penrith,area page,Penrith Electrician | Western Sydney & Nepean,"Penrith Electrician - Emergency, Level 2 & Planned Work",1013,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hawkesbury,area page,"Hawkesbury Electrician | Hills, Hawkesbury & Hornsby","Hawkesbury Electrician - Emergency, Level 2 & Planned Work",1049,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hills-district,area page,"Hills District Electrician | Hills, Hawkesbury & Hornsby","Hills District Electrician - Emergency, Level 2 & Planned Work",1001,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/hills-hawkesbury-and-hornsby/hornsby,area page,"Hornsby Electrician | Hills, Hawkesbury & Hornsby","Hornsby Electrician - Emergency, Level 2 & Planned Work",1000,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/northern-sydney-and-ryde/hunters-hill,area page,Hunters Hill Electrician | Northern Sydney & Ryde,"Hunters Hill Electrician - Emergency, Level 2 & Planned Work",911,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/northern-sydney-and-ryde/ku-ring-gai,area page,Ku-ring-gai Electrician | Northern Sydney & Ryde,"Ku-ring-gai Electrician - Emergency, Level 2 & Planned Work",939,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/northern-sydney-and-ryde/lane-cove,area page,Lane Cove Electrician | Northern Sydney & Ryde,"Lane Cove Electrician - Emergency, Level 2 & Planned Work",930,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/northern-sydney-and-ryde/mosman,area page,Mosman Electrician | Northern Sydney & Ryde,"Mosman Electrician - Emergency, Level 2 & Planned Work",864,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/northern-sydney-and-ryde/north-sydney,area page,North Sydney Electrician | Northern Sydney & Ryde,"North Sydney Electrician - Emergency, Level 2 & Planned Work",945,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/northern-sydney-and-ryde/ryde,area page,Ryde Electrician | Northern Sydney & Ryde,"Ryde Electrician - Emergency, Level 2 & Planned Work",927,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/northern-sydney-and-ryde/willoughby,area page,Willoughby Electrician | Northern Sydney & Ryde,"Willoughby Electrician - Emergency, Level 2 & Planned Work",909,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/northern-beaches/northern-beaches,area page,Northern Beaches Electrician | Northern Beaches,"Northern Beaches Electrician - Emergency, Level 2 & Planned Work",1132,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/blue-mountains/blue-mountains,area page,Blue Mountains Electrician | Blue Mountains,"Blue Mountains Electrician - Emergency, Level 2 & Planned Work",977,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/wollongong-and-illawarra/minnamurra-and-kiama-downs,area page,Minnamurra & Kiama Downs Electrician | Wollongong & Illawarra,"Minnamurra & Kiama Downs Electrician - Emergency, Level 2 & Planned Work",936,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/wollongong-and-illawarra/shellharbour,area page,Shellharbour Electrician | Wollongong & Illawarra,"Shellharbour Electrician - Emergency, Level 2 & Planned Work",949,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/wollongong-and-illawarra/wollongong,area page,Wollongong Electrician | Wollongong & Illawarra,"Wollongong Electrician - Emergency, Level 2 & Planned Work",1139,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/southern-highlands/wingecarribee,area page,Wingecarribee Electrician | Southern Highlands,"Wingecarribee Electrician - Emergency, Level 2 & Planned Work",984,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/central-coast-south/central-coast,area page,Central Coast Electrician | Central Coast South,"Central Coast Electrician - Emergency, Level 2 & Planned Work",1061,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bankstown,suburb page,Electrician Bankstown 2200 | Emergency & Level 2,Electrician Bankstown 2200,2693,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bass-hill,suburb page,Electrician Bass Hill 2197 | Emergency & Level 2,Electrician Bass Hill 2197,2797,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belfield,suburb page,Electrician Belfield 2191 | Emergency & Level 2,Electrician Belfield 2191,2715,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/belmore,suburb page,Electrician Belmore 2192 | Emergency & Level 2,Electrician Belmore 2192,2675,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/beverly-hills,suburb page,Electrician Beverly Hills 2209 | Emergency & Level 2,Electrician Beverly Hills 2209,2808,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/birrong,suburb page,Electrician Birrong 2143 | Emergency & Level 2,Electrician Birrong 2143,2704,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/campsie,suburb page,Electrician Campsie 2194 | Emergency & Level 2,Electrician Campsie 2194,2702,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/canterbury,suburb page,Electrician Canterbury 2193 | Emergency & Level 2,Electrician Canterbury 2193,2715,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/chester-hill,suburb page,Electrician Chester Hill 2162 | Emergency & Level 2,Electrician Chester Hill 2162,2783,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/clemton-park,suburb page,Electrician Clemton Park 2206 | Emergency & Level 2,Electrician Clemton Park 2206,2820,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/condell-park,suburb page,Electrician Condell Park 2200 | Emergency & Level 2,Electrician Condell Park 2200,2791,,,,,,,,,,
https://c0d312.github.io/evaready-electrical/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/earlwood,suburb page,Electrician Earlwood 2206 | Emergency & Level 2,Electrician Earlwood 2206,2782,,,,,,,,,,
