region,area,suburb,postcode,route,html file exists yes/no,title,meta description,h1,visible word count,phone CTA present yes/no,quote CTA present yes/no,emergency wording present yes/no,emergency electrician wording present yes/no,Level 2 wording present yes/no,Level 2 electrician wording present yes/no,general electrical wording present yes/no,switchboard wording present yes/no,response-time wording present yes/no,correct response-time wording yes/no,core or greater region classification,expected response time wording,actual response time wording,ASP wording present yes/no,Sydney and surrounding regions wording present yes/no,internal links count,FAQ count,stale strings found,risky claims found,spelling/grammar warnings,repeated phrase warnings,awkward wording warnings,notes
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Bankstown,2200,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/bankstown/,yes,Electrician Bankstown 2200 | Emergency & Level 2,"Need electrical help in Bankstown 2200? Evaready Electrical helps with urgent electrical faults, switchboard upgrades, lighting, power, data cabling.",Electrician Bankstown 2200,2538,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for business outages, partial power loss, hot outlets, circuit tripping, damaged equipment circuits and storm or water-affected electrical areas in Bankstown, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Georges Hall,2198,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/georges-hall/,yes,Electrician Georges Hall 2198 | Emergency & Level 2,"Need electrical help in Georges Hall 2198? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work.",Electrician Georges Hall 2198,2676,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for home power loss, tripping safety switches, burning smells, hot outlets, storm-damaged outdoor power and water-affected electrical equipment in Georges Hall, with 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Greenacre,2190,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/greenacre/,yes,Electrician Greenacre 2190 | Emergency & Level 2,"Need electrical help in Greenacre 2190? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across.",Electrician Greenacre 2190,2607,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for business outages, partial power loss, hot outlets, circuit tripping, damaged equipment circuits and storm or water-affected electrical areas in Greenacre, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Kingsgrove,2208,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/kingsgrove/,yes,Electrician Kingsgrove 2208 | Emergency & Level 2,"Need electrical help in Kingsgrove 2208? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across.",Electrician Kingsgrove 2208,2560,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for business outages, partial power loss, hot outlets, circuit tripping, damaged equipment circuits and storm or water-affected electrical areas in Kingsgrove, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Lakemba,2195,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/lakemba/,yes,Electrician Lakemba 2195 | Emergency & Level 2,"Need an electrician in Lakemba? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Lakemba 2195,2529,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for unit power loss, shared circuit tripping, burning smells, hot outlets, shopfront faults and unsafe common-area electrical issues in Lakemba, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Lansdowne,2163,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/lansdowne/,yes,Electrician Lansdowne 2163 | Emergency & Level 2,"Need electrical help in Lansdowne 2163? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across.",Electrician Lansdowne 2163,2596,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for home power loss, tripping safety switches, burning smells, hot outlets, storm-damaged outdoor power and water-affected electrical equipment in Lansdowne, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Milperra,2214,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/milperra/,yes,Electrician Milperra 2214 | Emergency & Level 2,"Evaready helps Milperra with urgent faults, Level 2 ASP work, switchboards, hot water electrical, aircon, CCTV/data and planned electrical work.",Electrician Milperra 2214,2541,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For Milperra, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for business outages, partial power loss, hot outlets, circuit tripping, damaged equipment circuits and storm or water-affected electrical areas in Milperra, with 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Mount Lewis,2190,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/mount-lewis/,yes,Electrician Mount Lewis 2190 | Emergency & Level 2,"Need an electrician in Mount Lewis? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Mount Lewis 2190,2624,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For Mount Lewis, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | For this suburb, urgent call-outs follow 60-minute emergency response. | Evaready provides 60-minute emergency response for emergency call-outs in this region.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Narwee,2209,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/narwee/,yes,Electrician Narwee 2209 | Emergency & Level 2,"Need electrical help in Narwee 2209? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across.",Electrician Narwee 2209,2518,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For Narwee, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for unit power loss, shared circuit tripping, burning smells, hot outlets, shopfront faults and unsafe common-area electrical issues in Narwee, with 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Padstow,2211,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/padstow/,yes,Electrician Padstow 2211 | Emergency & Level 2,"Need an electrician in Padstow? Evaready Electrical helps with electrical faults, safety switches, lighting, power points, hot water circuits.",Electrician Padstow 2211,2541,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for business outages, partial power loss, hot outlets, circuit tripping, damaged equipment circuits and storm or water-affected electrical areas in Padstow, with 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Padstow Heights,2211,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/padstow-heights/,yes,Electrician Padstow Heights 2211 | Emergency & Level 2,"Need electrical help in Padstow Heights 2211? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work.",Electrician Padstow Heights 2211,2666,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For Padstow Heights, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | For this suburb, urgent call-outs follow 60-minute emergency response. | Evaready provides 60-minute emergency response for emergency call-outs in this region.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Panania,2213,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/panania/,yes,Electrician Panania 2213 | Emergency & Level 2,"Evaready Electrical helps with emergency faults, switchboard upgrades, smoke alarms, lighting, power points, hot water circuits and Level 2 electrical.",Electrician Panania 2213,2518,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for home power loss, tripping safety switches, burning smells, hot outlets, storm-damaged outdoor power and water-affected electrical equipment in Panania, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Picnic Point,2213,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/picnic-point/,yes,Electrician Picnic Point 2213 | Emergency & Level 2,"Evaready helps Picnic Point with urgent faults, Level 2 ASP work, switchboards, hot water electrical, aircon, CCTV/data and planned electrical work.",Electrician Picnic Point 2213,2671,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For Picnic Point, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | For this suburb, urgent call-outs follow 60-minute emergency response. | Evaready provides 60-minute emergency response for emergency call-outs in this region.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Potts Hill,2143,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/potts-hill/,yes,Electrician Potts Hill 2143 | Emergency & Level 2,"Need an electrician in Potts Hill? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Potts Hill 2143,2613,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for business outages, partial power loss, hot outlets, circuit tripping, damaged equipment circuits and storm or water-affected electrical areas in Potts Hill, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Punchbowl,2196,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/punchbowl/,yes,Electrician Punchbowl 2196 | Emergency & Level 2,"Need an electrician in Punchbowl? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Punchbowl 2196,2556,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for unit power loss, shared circuit tripping, burning smells, hot outlets, shopfront faults and unsafe common-area electrical issues in Punchbowl, with 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Revesby,2212,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/revesby/,yes,Electrician Revesby 2212 | Emergency & Level 2,"Need electrical help in Revesby 2212? Evaready Electrical works across Revesby for family homes, duplexes, villas, warehouses and local businesses.",Electrician Revesby 2212,2570,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for business outages, partial power loss, hot outlets, circuit tripping, damaged equipment circuits and storm or water-affected electrical areas in Revesby, with 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Revesby Heights,2212,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/revesby-heights/,yes,Electrician Revesby Heights 2212 | Emergency & Level 2,"Evaready helps Revesby Heights with urgent faults, Level 2 ASP work, switchboards, hot water electrical, aircon, CCTV/data and planned electrical work.",Electrician Revesby Heights 2212,2687,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for home power loss, tripping safety switches, burning smells, hot outlets, storm-damaged outdoor power and water-affected electrical equipment in Revesby Heights, with 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Riverwood,2210,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/riverwood/,yes,Electrician Riverwood 2210 | Emergency & Level 2,"Need electrical help in Riverwood 2210? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across.",Electrician Riverwood 2210,2546,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Urgent help for unit power loss, shared circuit tripping, burning smells, hot outlets, shopfront faults and unsafe common-area electrical issues in Riverwood, with 60-minute emergency response. | Emergency call-outs in this region use 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Roselands,2196,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/roselands/,yes,Electrician Roselands 2196 | Emergency & Level 2,"Evaready helps Roselands with urgent faults, Level 2 ASP work, switchboards, hot water electrical, aircon, CCTV/data and planned electrical work.",Electrician Roselands 2196,2538,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for unit power loss, shared circuit tripping, burning smells, hot outlets, shopfront faults and unsafe common-area electrical issues in Roselands, with 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Sefton,2162,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/sefton/,yes,Electrician Sefton 2162 | Emergency & Level 2,"Evaready helps Sefton with urgent faults, Level 2 ASP work, switchboards, hot water electrical, aircon, CCTV/data and planned electrical work.",Electrician Sefton 2162,2556,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For Sefton, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | For this suburb, urgent call-outs follow 60-minute emergency response. | Evaready provides 60-minute emergency response for emergency call-outs in this region.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Villawood,2163,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/villawood/,yes,Electrician Villawood 2163 | Emergency & Level 2,"Need electrical help in Villawood 2163? Emergency faults, Level 2 ASP, switchboards, hot water, aircon, CCTV/data and general electrical work across.",Electrician Villawood 2163,2537,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For this suburb, urgent call-outs follow 60-minute emergency response. | Evaready provides 60-minute emergency response for emergency call-outs in this region. | Urgent help for business outages, partial power loss, hot outlets, circuit tripping, damaged equipment circuits and storm or water-affected electrical areas in Villawood, with 60-minute emergency response.",yes,yes,47,5,,,,,,
Canterbury-Bankstown & Inner South West,Canterbury-Bankstown,Wiley Park,2195,/service-areas/canterbury-bankstown-and-inner-south-west/canterbury-bankstown/wiley-park/,yes,Electrician Wiley Park 2195 | Emergency & Level 2,"Need an electrician in Wiley Park? Evaready helps with emergency faults, Level 2 ASP work, switchboards, hot water, aircon, CCTV/data and general.",Electrician Wiley Park 2195,2616,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,core,within 60 minutes / 60-minute response,"60-minute response for urgent call-outs. | For Wiley Park, emergency call-outs use 60-minute emergency response; call for unsafe faults, or send photos and details for planned work. | For this suburb, urgent call-outs follow 60-minute emergency response. | Evaready provides 60-minute emergency response for emergency call-outs in this region.",yes,yes,47,5,,,,,,
